,cat_id,mean,Forecast Date,Timestep
221,2004700375.0,3.5625,05/31/2019,05/31/2019
222,2004700376.0,2.9895643870498363,05/31/2019,05/31/2019
223,2004700377.0,0.7147686298076923,05/31/2019,05/31/2019
224,2004700378.0,1.4449561403508773,05/31/2019,05/31/2019
225,2004700379.0,3.4375,05/31/2019,05/31/2019
226,2004700380.0,4.414076782449726,05/31/2019,05/31/2019
227,2004700381.0,3.4375,05/31/2019,05/31/2019
228,2004700382.0,4.020600763807286,05/31/2019,05/31/2019
229,2004700383.0,3.4375,05/31/2019,05/31/2019
230,2004700384.0,8.351346685082873,05/31/2019,05/31/2019
231,2004700385.0,6.946934401789042,05/31/2019,05/31/2019
232,2004700387.0,3.4375,05/31/2019,05/31/2019
233,2004700388.0,9.87053959965187,05/31/2019,05/31/2019
234,2004700389.0,6.41997406475951,05/31/2019,05/31/2019
235,2004700390.0,29.442934782608695,05/31/2019,05/31/2019
236,2004700392.0,26.251926040061633,05/31/2019,05/31/2019
237,2004700393.0,15.687156593406593,05/31/2019,05/31/2019
238,2004700394.0,22.704009995240362,05/31/2019,05/31/2019
239,2004700396.0,30.625,05/31/2019,05/31/2019
240,2004700397.0,25.03018172004318,05/31/2019,05/31/2019
241,2004700399.0,24.29180847772277,05/31/2019,05/31/2019
242,2004700400.0,22.879175869685255,05/31/2019,05/31/2019
243,2004700401.0,20.8125,05/31/2019,05/31/2019
244,2004700402.0,16.999228395061728,05/31/2019,05/31/2019
245,2004700403.0,8.143403490759754,05/31/2019,05/31/2019
246,2004700404.0,18.62308177933178,05/31/2019,05/31/2019
247,2004700405.0,3.4137833008447043,05/31/2019,05/31/2019
248,2004700406.0,1.8125,05/31/2019,05/31/2019
249,2004700407.0,3.810638669148441,05/31/2019,05/31/2019
250,2004700408.0,4.1875,05/31/2019,05/31/2019
251,2004700409.0,7.232495408631772,05/31/2019,05/31/2019
252,2004700410.0,4.711367595818816,05/31/2019,05/31/2019
253,2004700411.0,4.1875,05/31/2019,05/31/2019
