BASIN,01FFG2018021312
2004700814,74.81
2004700815,73.58
2004700816,73.86
2004700817,73.27
2004700818,75.44
2004700819,71.57
2004700820,69.98
2004700821,69.67
2004700822,68.73
2004700823,44.19
2004700824,48.29
2004700825,44.74
2004700826,46.58
2004700827,49.61
2004700828,49.44
2004700829,70.98
2004700830,64.54
2004700831,67.15
2004700832,72.29
2004700833,62.79
2004700834,74.5
2004700835,50.59
2004700836,46.99
2004700837,69.08
2004700838,83.52
2004700839,66.08
2004700840,74.3
2004700841,60.59
2004700842,56.6
2004700843,77.08
2004700844,99.87
2004700845,80.58
2004700846,78.15
2004700847,77.66
2004700848,82.84
2004700849,103.15
2004700850,74.65
2004700851,66.19
2004700852,94.77
2004700853,76.5
2004700854,61.35
2004700855,73.23
2004700856,62.11
2004700857,71.31
2004700858,57.99
2004700859,65.99
2004700860,64.32
2004700861,62.29
2004700862,69.08
2004700863,53.28
2004700864,53.28
2004700865,76.48
2004700866,91.62
2004700867,53.27
2004700868,53.32
2004700869,60.9
2004700870,44.21
2004700871,70.45
2004700872,79.3
2004700873,60.75
2004700874,77.19
2004700875,86.35
2004700876,69.95
2004700877,83.14
2004700878,58.96
2004700879,44.3
2004700880,48.75
2004700881,61.84
2004700882,61.87
2004700883,44.3
2004700884,44.31
2004700885,61.86
2004700886,56.41
2004700887,61.81
2004700888,78
2004700889,63.45
2004700890,44.33
2004700891,44.33
2004700892,53.32
2004700893,53.27
2004700894,75.84
2004700895,-999
2004700896,-999
2004700897,75.21
2004700898,89.84
2004700899,89.94
2004700900,-999
2004700901,89.96
2004700902,-999
2004700903,-999
2004700904,94.92
2004700905,94.84
2004700906,95.07
2004700907,62.58
2004700908,94.45
2004700909,56.35
2004700910,64.92
2004700911,59.33
2004700912,62.96
2004700913,57.65
2004700914,59.27
2004700915,58.95
2004700916,50.99
2004700917,52.47
2004700918,67.59
2004700919,51.7
2004700920,56.64
2004700921,51.02
2004700922,74.65
2004700923,91.26
2004700924,90.8
2004700925,62.58
2004700926,62.56
2004700927,62.56
2004700928,29.31
2004700929,28.28
2004700930,29.31
2004700931,90.19
2004700932,90.26
2004700933,90.04
2004700934,62.25
2004700935,90.43
2004700936,90.87
2004700937,62.47
2004700938,62.46
2004700939,28.28
2004700940,28.28
2004700941,44.25
2004700942,62.29
2004700943,62.34
2004700944,62.4
2004700945,62.34
2004700946,62.45
2004700947,28.28
2004700948,28.28
2004700949,62.37
2004700950,62.48
2004700951,62.43
2004700952,28.28
2004700953,28.28
2004700954,62.31
2004700955,62.27
2004700956,69
2004700957,44.26
2004700958,44.28
2004700959,62.29
2004700960,62.36
2004700961,62.37
2004700962,53.17
2004700963,108.04
2004700964,75.12
2004700965,80.67
2004700966,75.2
2004700967,94.52
2004700968,93.98
2004700969,55.57
2004700970,74.85
2004700971,61.15
2004700972,52.82
2004700973,115.97
2004700974,65.89
2004700975,72.98
2004700976,65.32
2004700977,53.73
2004700978,81.73
2004700979,114.7
2004700980,73.4
2004700981,77.09
2004700982,79.33
2004700983,77.21
2004700984,68.52
2004700985,63.16
2004700986,61.95
2004700987,-999
2004700988,69.06
2004700989,53.19
2004700990,53.12
2004700991,53.11
2004700992,90.13
2004700993,53.11
2004700994,53.19
2004700995,90.43
2004700996,90.58
2004700997,29.31
2004700998,62.46
2004700999,61.47
2004701000,53.11
2004701001,62.25
2004701002,62.29
2004701003,53.15
2004701004,44.29
2004701005,44.26
2004701006,29.31
2004701007,62.28
2004701008,62.42
2004701009,53.15
2004701010,53.24
2004701011,44.26
2004701012,61.76
2004701013,53.25
2004701014,64.86
2004701015,69.04
2004701016,69.06
2004701017,69.12
2004701018,69.07
2004701019,69.05
2004701020,53.27
2004701021,53.29
2004701022,64.78
2004701023,71.15
2004701024,64.39
2004701025,172.98
2004701026,111.76
2004701027,102.23
2004701028,107.49
2004701029,127.96
2004701030,107.65
2004701031,86.15
2004701032,69.13
2004701033,44.22
2004701034,44.3
2004701035,44.3
2004701036,53.27
2004701037,44.29
2004701038,62.47
2004701039,61.75
2004701040,53.13
2004701041,53.04
2004701042,53.01
2004701043,53.13
2004701044,61.73
2004701045,61.77
2004701046,61.62
2004701047,61.71
2004701048,53.31
2004701049,44.22
2004701050,44.31
2004701051,69.93
2004701052,64.39
2004701053,69.56
2004701054,66.21
2004701055,65.2
2004701056,64.08
2004701057,62.89
2004701058,62.78
2004701059,57.98
2004701060,58.77
2004701061,56.81
2004701062,48.17
2004701063,44.22
2004701064,97.12
2004701065,96.45
2004701066,61.9
2004701067,71.74
2004701068,86.48
2004701069,71.78
2004701070,67.84
2004701071,70.01
2004701072,68.91
2004701073,62.06
2004701074,68.08
2004701075,66.47
2004701076,76.77
2004701077,62.2
2004701078,61.98
2004701079,62.17
2004701080,62.04
2004701081,57
2004701082,63.65
2004701083,44.66
2004701084,75.92
2004701085,53.34
2004701086,53.34
2004701087,62.49
2004701088,53.33
2004701089,44.3
2004701090,69.09
2004701091,53.3
2004701092,99.56
2004701093,76.1
2004701094,69.25
2004701095,103.49
2004701096,95.95
2004701097,61.21
2004701098,58.22
2004701099,107.35
2004701100,107.06
2004701101,53.44
2004701102,52.47
2004701103,53.15
2004701104,53.18
2004701105,112.92
2004701106,111.11
2004701107,106.08
2004701108,56.43
2004701109,53.33
2004701110,53.29
2004701111,44.32
2004701112,53.29
2004701113,44.32
2004701114,53.29
2004701115,75.72
2004701116,53.32
2004701117,173.68
2004701118,82.74
2004701119,121.2
2004701120,62.91
2004701121,86.6
2004701122,64.22
2004701123,78.25
2004701124,44.26
2004701125,152.45
2004701126,62.81
2004701127,53.27
2004701128,55.75
2004701129,51.91
2004701130,69.12
2004701131,69.11
2004701132,69.07
2004701133,104.91
2004701134,129.18
2004701135,144.26
2004701136,76.99
2004701137,72.28
2004701138,68.24
2004701139,73.06
2004701140,74.4
2004701141,72.86
2004701142,54.91
2004701143,73.94
2004701144,62.21
2004701145,75.24
2004701146,49.96
2004701147,64.61
2004701148,46.69
2004701149,60.8
2004701150,66.95
2004701151,70.14
2004701152,60.78
2004701153,82.55
2004701154,58.36
2004701155,52.69
2004701156,53.81
2004701157,75.16
2004701158,69.07
2004701159,66.49
2004701160,63.49
2004701161,54.94
2004701162,74.75
2004701163,51.8
2004701164,50.07
2004701165,54.22
2004701166,62.05
2004701167,52.85
2004701168,62.09
2004701169,58.68
2004701170,57.96
2004701171,50.83
2004701172,49.58
2004701173,49.89
2004701174,49.28
2004701175,64.2
2004701176,61.19
2004701177,52.1
2004701178,52.13
2004701179,55.37
2004701180,52.41
2004701181,57.87
2004701182,75.01
2004701183,72.25
2004701184,69.04
2004701185,79.08
2004701186,85.64
2004701187,67.34
2004701188,64.72
2004701189,59.22
2004701190,57.54
2004701191,54.91
2004701192,66.29
2004701193,48.25
2004701194,60.8
2004701195,58.48
2004701196,59.64
2004701197,73.94
2004701198,94.1
2004701199,44.19
2004701200,-999
2004701201,-999
2004701202,-999
2004701203,87.45
2004701204,66.58
2004701205,61.95
2004701206,-999
2004701207,-999
2004701208,76.47
2004701209,-999
2004701210,-999
2004701211,-999
2004701212,-999
2004701213,-999
2004701214,90.58
2004701215,113.48
2004701216,70.88
2004701217,80.14
2004701218,89.58
2004701219,88.33
2004701220,63.84
2004701221,69.65
2004701222,69.14
2004701223,79.54
2004701224,86.71
2004701225,114.48
2004701226,82.49
2004701227,82.86
2004701228,111.25
2004701229,79.98
2004701230,69.69
2004701231,54.76
2004701232,66.98
2004701233,51.13
2004701234,61.41
2004701235,59.1
2004701236,67.77
2004701237,88
2004701238,54.59
2004701239,49.53
2004701240,70.68
2004701241,98.61
2004701242,48.28
2004701243,48
2004701244,57.47
2004701245,46.38
2004701246,55.3
2004701247,50.87
2004701248,43.37
2004701249,46.2
2004701250,64.94
2004701251,62.01
2004701252,120.5
2004701253,118.7
2004701254,65.21
2004701255,97.94
2004701256,66.52
2004701257,61.89
2004701258,65.19
2004701259,68.96
2004701260,118.29
2004701261,111.3
2004701262,81.19
2004701263,69.68
2004701264,86.05
2004701265,76.35
2004701266,52.33
2004701267,55.06
2004701268,62.5
2004701269,60.02
2004701270,45.57
